단어,빈도
레모네이드,23
물기,23
선셋,23
아름다웠다,23
네이버,23
발,23
앨범,23
찰리,22
푸스,22
더하다,22
조작,22
포,22
설,22
설레잖아,22
출연자,22
파워,22
소닉,22
잔나비,22
있잖아요,22
설레어서,22
레일,22
연남동,22
그리워질,22
그날,22
실크,22
전세계,22
장남,22
신년,21
폼,21
바다로,21
바닷가,21
어프,21
고급,21
순간이동,21
뜨겁게,21
취저,21
검정치마,21
겉,21
통통,21
들뜨잖아,21
침,21
불멍,21
캠핑장,21
비극,21
신남,21
당당한,21
있다고,21
러브,21
현실,21
면서,21
세월,21
대송,21
나란히,21
클렌징,21
크러쉬,21
재즈팝,21
더한,20
장난감,20
제대로,20
잔잔함이,20
소파,20
작고,20
정말,20
귀찮아서,20
쌀쌀한,20
적,20
브금,20
센슈얼,20
장난,20
샤우팅,20
고개,20
수정,20
추석,20
답답한,20
생활,20
독기,20
생기,20
사인,20
장바구니,20
성수동,20
도착,20
재밌는,20
차안,20
있다면,20
짝꿍,20
아니잖아,20
칩거,20
미소,20
번화가,20
우유,20
미학,20
풋풋한,20
미러볼,20
네온,20
강렬한,20
바이러스,20
하얀,20
반하는,20
발랄,20
밤하늘,20
방울,20
해피,20
우울,20
로봇,20
남성,20
건방져지는,20
은은한,20
탄산,20
롸커들,20
소호,19
죽음,19
마디,19
미라클,19
나들이,19
뮤,19
그리워한,19
노인,19
미쳤,19
닉,19
주제가,19
갓,19
없죠,19
라드,19
쓰나미,19
없던,19
있었던,19
여학생,19
화음,19
뜨거웠던,19
옷장,19
시각장애인,19
무중력,19
러,19
헬스할,19
소녀,19
게임,19
고향,19
책장,19
의지,19
등,19
테라스,19
붉은,19
애절한,19
드라이빙,19
듀엣,19
추위,19
사신,19
청량터,19
청년,19
위켄드,19
더운,19
사이먼,19
책방,19
언니,19
네온사인,19
살,19
찬란한,19
도미,19
말랑말랑한,18
매혹,18
톰,18
로그,18
효,18
별빛,18
칠하고,18
브이,18
로움,18
보들보들해지는,18
대루,18
프롬,18
가까운,18
같,18
멍하니,18
행복하자,18
스윗,18
모던,18
포브스,18
초록,18
문장,18
한여름,18
둠칫둠칫,18
한잔,18
좋,18
비행기,18
미드나잇,18
샤워,18
비어,18
소화,18
따뜻함에,18
햇볕,18
간만,18
러닝,18
난,18
아니,18
심야,18
어떻게,18
에어컨,18
심쿵,18
김재식,18
내적,18
인트,18
있잖아,18
노력,18
앱,17
펑펑,17
유독,17
있지만,17
변동,17
과정,17
기대하게,17
소희,17
불편하던,17
캠페인,17
보드,17
야할,17
불가,17
부모님,17
앤,17
변화,17
부디,17
쿨한,17
겨울비,17
타게될껄,17
을지로,17
불구,17
종로구,17
취해,17
취할,17
대상,17
서울시,17
서울,17
진창,17
골목,17
고픈,17
더욱더,17
찌릿해,17
기도,17
도심,17
눈물,17
좋으니,17
안나,17
답,17
청소년,17
사르르,17
사랑스런,17
초과,17
촉촉한,17
촌,17
인간,17
고,17
김혜수,17
절대,17
룸,17
퇴폐,17
없기에,17
라운드,17
그럼에도,17
활보,17
시대,17
한도,17
할인,17
감상,17
재생,17
무드있는,17
엉망,17
어렵게,17
매출,17
내추럴,17
시소,17
행복해,17
헤어지자,17
시시콜콜한,17
느긋하게,17
오직,17
자하문로,17
레드,17
값,17
혁신,17
같습니다,17
개,17
리틀,17
어렵고,17
습한,17
포레스트,17
가능,17
원동력,17
마리,17
가능성,17
폭죽,17
웨이즈,17
독서,16
레몬,16
서운할,16
집업,16
공부,16
흔하지,16
징,16
흑백,16
기존,16
가득할,16
남,16
가든,16
고민,16
짜릿해,16
후드,16
로랑,16
사서,16
일렉트로니카,16
낮술,16
발랄한,16
뿐,16
원한다면,16
윈터,16
방식,16
꿀,16
버킷리스트,16
거지,16
베이글,16
변경,16
같은데,16
같았던,16
별로,16
떄,16
태양,16
고단,16
꽃들이,16
업데이트,16
부분,16
강가,16
없다면,16
문제,16
글,16
없으니,16
취급,16
계획,16
오혁,16
간,16
카더,16
수도,16
전혀,16
달라,16
손,16
재,16
소박하고,16
