,제목,설명,가수,곡명,이미지객체,이미지색감,색감비율
48,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Stephen Sanchez,I Want You,person,"[7, 10, 13]",53.58734809027778
49,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Stephen Sanchez,I Want You,person,"[83, 138, 161]",32.854709201388886
50,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Stephen Sanchez,I Want You,person,"[18, 50, 83]",13.557942708333334
51,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Abe Parker - Butterflies,Acoustic,person,"[7, 10, 13]",53.58745659722223
52,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Abe Parker - Butterflies,Acoustic,person,"[83, 138, 161]",32.854709201388886
53,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Abe Parker - Butterflies,Acoustic,person,"[18, 50, 83]",13.557834201388888
54,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,MAX - EDIE CELINE,Stripped Version,person,"[7, 10, 13]",53.56467013888889
55,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,MAX - EDIE CELINE,Stripped Version,person,"[83, 138, 161]",32.857421875
56,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,MAX - EDIE CELINE,Stripped Version,person,"[18, 50, 83]",13.577907986111112
57,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Maximillian - Ripples,Acoustic,person,"[7, 10, 13]",53.58734809027778
58,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Maximillian - Ripples,Acoustic,person,"[83, 138, 161]",32.854709201388886
59,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Maximillian - Ripples,Acoustic,person,"[18, 50, 83]",13.557942708333334
60,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,still that kid (deep down),person,"[7, 10, 13]",53.58951822916666
61,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,still that kid (deep down),person,"[83, 138, 161]",32.853841145833336
62,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,still that kid (deep down),person,"[18, 50, 83]",13.556640625
63,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,everything to me,person,"[7, 10, 13]",53.58734809027778
64,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,everything to me,person,"[83, 138, 161]",32.854709201388886
65,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,everything to me,person,"[18, 50, 83]",13.557942708333334
66,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"d4vd, Laufey",This Is How It Feels,person,"[7, 10, 13]",53.58734809027778
67,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"d4vd, Laufey",This Is How It Feels,person,"[83, 138, 161]",32.854709201388886
68,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"d4vd, Laufey",This Is How It Feels,person,"[18, 50, 83]",13.557942708333334
69,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Chris James,The Green (Acoustic),person,"[7, 10, 13]",53.58734809027778
70,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Chris James,The Green (Acoustic),person,"[83, 138, 161]",32.854709201388886
71,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Chris James,The Green (Acoustic),person,"[18, 50, 83]",13.557942708333334
72,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,rhianne,my love mine all mine,person,"[7, 10, 13]",53.58951822916666
73,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,rhianne,my love mine all mine,person,"[83, 138, 161]",32.853841145833336
74,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,rhianne,my love mine all mine,person,"[18, 50, 83]",13.556640625
75,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,Stuck Here Without You,person,"[7, 10, 13]",53.58734809027778
76,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,Stuck Here Without You,person,"[83, 138, 161]",32.854709201388886
77,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,Stuck Here Without You,person,"[18, 50, 83]",13.557942708333334
78,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Etham,What I Feel Is Love,person,"[7, 10, 13]",53.58973524305556
79,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Etham,What I Feel Is Love,person,"[83, 138, 161]",32.85340711805556
80,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Etham,What I Feel Is Love,person,"[18, 50, 83]",13.55685763888889
81,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,all i need (the distance song),person,"[7, 10, 13]",53.58973524305556
82,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,all i need (the distance song),person,"[83, 138, 161]",32.853841145833336
83,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,all i need (the distance song),person,"[18, 50, 83]",13.556423611111112
84,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Matt Maltese,Everyone Adores You (quiet),person,"[41, 25, 8]",56.45572916666667
85,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Matt Maltese,Everyone Adores You (quiet),person,"[2, 2, 3]",40.26779513888889
86,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Matt Maltese,Everyone Adores You (quiet),person,"[73, 82, 151]",3.2764756944444446
87,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,92914,Starlight,person,"[41, 25, 8]",56.45551215277778
88,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,92914,Starlight,person,"[2, 2, 3]",40.26790364583333
89,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,92914,Starlight,person,"[73, 82, 151]",3.276584201388889
90,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - la la la that's how it goes,dream edit,person,"[41, 25, 8]",56.45551215277778
91,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - la la la that's how it goes,dream edit,person,"[2, 2, 3]",40.26790364583333
92,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - la la la that's how it goes,dream edit,person,"[73, 82, 151]",3.276584201388889
93,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Milena - Letter,English Version,person,"[41, 25, 8]",56.45551215277778
94,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Milena - Letter,English Version,person,"[2, 2, 3]",40.26790364583333
95,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Milena - Letter,English Version,person,"[73, 82, 151]",3.276584201388889
96,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,The Paper Kites,Tin Lover,person,"[25, 15, 5]",95.39246961805556
97,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,The Paper Kites,Tin Lover,person,"[42, 47, 115]",3.8684895833333335
98,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,The Paper Kites,Tin Lover,person,"[163, 178, 207]",0.7390407986111112
99,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,"92914,HanMinji",Someday,person,"[41, 25, 8]",56.45551215277778
100,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,"92914,HanMinji",Someday,person,"[2, 2, 3]",40.26790364583333
101,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,"92914,HanMinji",Someday,person,"[73, 82, 151]",3.276584201388889
102,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - free love,dream edit,person,"[41, 25, 8]",56.453450520833336
103,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - free love,dream edit,person,"[2, 2, 3]",40.26790364583333
104,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - free love,dream edit,person,"[73, 82, 151]",3.278645833333333
105,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Gogang,Love Is (Intro),person,"[41, 25, 8]",56.45551215277778
106,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Gogang,Love Is (Intro),person,"[2, 2, 3]",40.26790364583333
107,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Gogang,Love Is (Intro),person,"[73, 82, 151]",3.276584201388889
108,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - gone gone gone,dream edit,person,"[41, 25, 8]",56.45572916666667
109,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - gone gone gone,dream edit,person,"[2, 2, 3]",40.26779513888889
110,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - gone gone gone,dream edit,person,"[73, 82, 151]",3.2764756944444446
111,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Finding Hope,Whatever You Want,person,"[41, 25, 8]",56.45551215277778
112,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Finding Hope,Whatever You Want,person,"[2, 2, 3]",40.26790364583333
113,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Finding Hope,Whatever You Want,person,"[73, 82, 151]",3.276584201388889
114,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Sino,Strange,person,"[41, 25, 8]",56.45551215277778
115,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Sino,Strange,person,"[2, 2, 3]",40.26790364583333
116,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Sino,Strange,person,"[73, 82, 151]",3.276584201388889
117,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Oscar Lang,million little reasons,person,"[41, 25, 8]",56.45572916666667
118,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Oscar Lang,million little reasons,person,"[2, 2, 3]",40.26779513888889
119,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Oscar Lang,million little reasons,person,"[73, 82, 151]",3.2764756944444446
120,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,92914,Okinawa,person,"[25, 15, 5]",95.39246961805556
121,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,92914,Okinawa,person,"[42, 47, 115]",3.8685980902777777
122,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,92914,Okinawa,person,"[163, 178, 207]",0.7389322916666666
123,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Sam Ock,Remember,person,"[25, 15, 5]",95.39246961805556
124,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Sam Ock,Remember,person,"[42, 47, 115]",3.8684895833333335
125,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Sam Ock,Remember,person,"[163, 178, 207]",0.7390407986111112
126,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - one way to tokyo,dream edit,person,"[41, 25, 8]",56.45551215277778
127,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - one way to tokyo,dream edit,person,"[2, 2, 3]",40.26790364583333
128,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - one way to tokyo,dream edit,person,"[73, 82, 151]",3.276584201388889
129,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Joey Stamper,In The Wee Small Hours Of The Morning,person,"[41, 25, 8]",56.45551215277778
130,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Joey Stamper,In The Wee Small Hours Of The Morning,person,"[2, 2, 3]",40.26790364583333
131,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Joey Stamper,In The Wee Small Hours Of The Morning,person,"[73, 82, 151]",3.276584201388889
132,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,SOLOMON,do you want my love?,person,"[41, 25, 8]",56.45551215277778
133,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,SOLOMON,do you want my love?,person,"[2, 2, 3]",40.26790364583333
134,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,SOLOMON,do you want my love?,person,"[73, 82, 151]",3.276584201388889
135,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Sam Ock,silent,person,"[41, 25, 8]",56.45551215277778
136,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Sam Ock,silent,person,"[2, 2, 3]",40.26790364583333
137,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Sam Ock,silent,person,"[73, 82, 151]",3.276584201388889
138,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Matt Maltese,When You Wash Your Hair,person,"[41, 25, 8]",56.45551215277778
139,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Matt Maltese,When You Wash Your Hair,person,"[2, 2, 3]",40.26790364583333
140,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Matt Maltese,When You Wash Your Hair,person,"[73, 82, 151]",3.276584201388889
141,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Finding Hope,another guy,person,"[41, 25, 8]",56.45551215277778
142,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Finding Hope,another guy,person,"[2, 2, 3]",40.26790364583333
143,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Finding Hope,another guy,person,"[73, 82, 151]",3.276584201388889
