단어,빈도
닉,19
화음,19
로그,18
인트,18
미드나잇,18
햇볕,18
러닝,18
샤워,18
구,18
비행기,18
어떻게,18
애,18
좋,18
말랑말랑한,18
브이,18
한여름,18
로움,18
에어컨,18
둠칫둠칫,18
따뜻함에,18
내적,18
벽감,18
심쿵,18
난,18
모던,18
소화,18
톰,18
비어,18
그런,18
있잖아,18
별빛,18
심야,18
선정,18
나로,18
충분히,18
괜찮은,18
가까운,18
포브스,18
칠하고,18
장마,18
보들보들해지는,18
프롬,18
간만,18
대루,18
스윗,18
효,18
초록,18
멍하니,18
매혹,18
아니,18
눈물,17
퇴폐,17
야할,17
아름답게,17
부모님,17
펑펑,17
포레스트,17
무드있는,17
매출,17
인,17
느긋하게,17
리틀,17
습한,17
통해,17
서울,17
한도,17
초과,17
재생,17
취할,17
사르르,17
타게될껄,17
마리,17
앤,17
유독,17
사랑스런,17
찌릿해,17
트랙,17
폭죽,17
행복해,17
겨울비,17
취해,17
도심,17
내일,17
개,17
엉망,17
골목,17
보드,17
안나,17
활보,17
촉촉한,17
내추럴,17
시시콜콜한,17
좋으니,17
벚꽃,17
진창,17
고픈,17
을지로,17
베이글,16
강가,16
없다면,16
같은데,16
수도,16
짜릿해,16
후드,16
카더,16
오혁,16
떄,16
흔하지,16
태양,16
뿐,16
근사한,16
같았던,16
필름,16
센치함이,16
꿀,16
있음,16
남,16
별로,16
흑백,16
일렉트로니카,16
꽃들이,16
작성,16
에너지,16
뜨거운,16
긍정,16
고단,16
낮술,16
시속,16
소박하고,16
윈터,16
레몬,16
발랄한,16
징,16
공부,16
전교,16
가득할,16
독서,16
가든,16
사람과,16
원한다면,16
글,16
사서,16
실수,16
손,16
쏠,16
신나요,16
간,16
달라,16
서운할,16
버킷리스트,16
집업,16
계획,16
로랑,16
아주,16
야간,15
촉촉하게,15
행복할,15
연인,15
매번,15
좋다,15
설레게,15
임영웅,15
명절,15
건행,15
설날,15
합,15
투샷,15
얼마나,15
역시,15
여행가,15
몽골,15
태연,15
널,15
클라우드,15
청량,15
새벽녘,15
작심삼일,15
출발,15
일렉트로닉,15
어떄,15
가득했어,15
싫은,15
음,15
귀찮을,15
섹시한,15
합격,15
목걸이,15
나기,15
모델,15
브라운아이드소울,15
봄볕,15
시원함,15
사색,15
요정,15
좋은지,15
코코아,15
치기,15
아쉬운,15
등장씬,15
에펠탑,15
뽀송하게,15
푸르른,15
푸릇푸릇,15
바질,15
나이,15
그리워하며,15
유명하지,15
세상만사,15
포르투,15
뒷골목,15
아까운데,15
잠수교,15
아아,15
제주도,15
후회될,15
미안해,15
자기야,15
잔잔함과,15
봄밤,15
블랙,15
금은,15
머,15
베를린,15
키치,15
부질없다,15
성지,15
자기,14
뚝섬유원지역,14
서나,14
메뉴,14
강변,14
냉치냉,14
표,14
성,14
홈,14
압로,14
대표,14
차분하게,14
보이,14
제격,14
출근,14
메이커,14
발끝,14
포근하고,14
청량함의,14
좋기,14
톡톡,14
취소,14
붉게,14
성냥,14
시크,14
스타일리시,14
만큼,14
시원해서,14
아니거나,14
거나,14
다행,14
아이폰,14
펌프,14
부스터,14
모드,14
