단어,빈도
고급,21
진,36
소울,61
재즈팝,21
초록,18
소소한,25
사운드클라우드,77
소파,20
몸,45
가득할,16
십년,33
체증,33
해방,33
감,50
자유,33
만끽,51
산뜻하게,66
충전,88
활,57
뿜뿜,43
무드,105
소복소복,25
적막한,26
꿀꿀한,28
꿀렁이,28
힙스터,64
꽃,41
안나,17
벚꽃,17
개,17
따스한,81
코코아,15
따스하고,36
합,15
독서,16
연주,45
좋구요,27
미치겠어요,27
기대하며,44
이쯤,118
중간,97
결산,442
상반기,293
특집,411
안될,295
지루한게,24
싫다구,24
접수,24
밋밋한,24
블링블링,24
장난감,20
성냥,14
불,32
시크,14
스타일리시,14
비행기,18
꿀,16
뚝,32
영화,96
소호,19
어스름,49
무기,33
나기,15
창가,31
화이팅,24
쉿,33
촉촉한,17
에이,24
가볍게,258
칩거,20
생활,20
재밌는,20
때문,20
휴양지,44
집시재즈,25
자세,97
트로피,130
컬,130
그날,22
주제가,19
회색,41
나른해지는,26
열정,30
가슴,30
남성,20
설레이는,27
엄마,41
침대,14
탄산,20
여성,50
롸커들,20
샤우팅,20
등장씬,15
산타할아버지,69
착하게,69
헤,14
다정하게,14
끈,23
딥,44
로움,18
삽입,25
최면,25
만약,25
광고음악,25
감독,25
다크,71
요정,15
사색,15
잠기,38
봄볕,15
덕분,100
행복했다,100
하반기,100
독기,20
미학,20
리드미컬,70
마스크,25
뻔,25
이태원,52
벨벳,24
부드럽고,53
시즌,41
신곡,41
콜렉션,41
매우,25
맑음,25
포,22
혹쉬,12
부가,25
인트로,61
한여름,18
심야,18
별빛,18
열대야,65
젤라또,13
슬슬,96
렉팝,104
도넛,30
키치,15
나이키,14
모드,14
부스터,14
펌프,14
그리워질,22
예감,28
마법,25
나라,25
놀이,25
공원,45
여름날,103
세레나데,25
센치한,56
멜랑콜리,24
불금,30
묵직한,30
봄밤,15
자락,14
붉게,14
습한,17
둠칫,28
폭,49
신한,49
자기야,15
미안해,15
후회될,15
조각,23
온,97
들뜨잖아,21
사과,25
아아,15
잠수교,15
싫은,15
널,15
캠프,25
습기,43
서울,17
도심,17
풋풋한,20
브금,20
생기,20
발랄,20
바닷가,21
캠핑장,21
불멍,21
봄맞이,45
센슈얼,20
광합성,53
필요해,36
초여름,53
온실,28
따뜻했던,28
무수,28
대한,28
단상,28
가족영화,50
편,50
색다른,50
감동,50
클래식,50
스페셜,50
팔,24
무엇,36
클라우드,15
안될까,25
그림,25
그릴,25
애가,14
몽글몽글해지는,23
괜찮으시겠어요,25
지루한,25
신남,21
퍼펙트,72
타게될껄,17
호캉스,37
야하는,13
경쾌하고,13
작고,20
소중한,36
북미,14
굿모닝,26
사르르,17
부드럽게,37
로우,98
온도,14
투샷,15
나른함과,23
무렵,24
오렌지,24
설날,15
건행,15
명절,15
임영웅,15
발랄한,16
레몬,16
캬캬캬,25
개도,25
출퇴근길,25
세월,21
신년,21
주년,21
기념,21
블루투스,27
해진,24
안성맞춤,24
테라스,19
축,24
펑키,26
나른하고,24
집콕러들,25
하얀,20
우유,20
에스프레소,38
방울,20
작심삼일,15
출발,15
일렉트로닉,15
저기,29
꽃들이,16
메리,24
아이유,30
좋다,15
싱그럽고,34
찌릿해,17
폭죽,17
아름다운,38
무중력,19
아프로,42
폼,21
있어요,25
개장,45
절제,45
세련,61
미,61
테크,45
하우스,45
나들이,19
세트,30
추석,20
차안,20
센치함이,16
블랙,15
홍대,23
지하,23
즈음,30
늦가을,30
영혼,57
비어,18
아까운데,15
핫플,38
있지,24
편집숍,24
쿨,24
성지,15
베를린,15
뒷골목,15
제목,24
쨍,30
낮맥,30
디스코,30
은은하게,41
꽃내음,26
롤러코스터,25
합격,15
목걸이,15
꿀렁,30
고당,27
당고,27
정도,98
토요일,30
인,17
원한다면,16
사람과,16
제거,26
예쁜,26
브이,18
로그,18
인트,18
햇볕,18
옥상,13
장소,13
산뜻,13
느긋하게,17
어깨,26
낮술,16
돗자리,27
콜,25
포근포근,24
세련되고,24
성,14
보드,17
엉망,17
진창,17
고픈,17
냉치냉,14
촉촉하게,15
취저,21
샤워,18
말랑말랑한,18
짜릿한,25
선사,25
도파민,25
쏙쏙,25
후드,16
집업,16
틈,49
세대,49
관통,49
불멸,49
레모네이드,23
댄서,26
블,26
답답한,20
해피,20
바이러스,20
번화가,20
푸릇푸릇,15
바질,15
썸머,49
갓,19
추위,19
브랜드,30
보들보들해지는,18
게임,19
수영,30
스타,30
쉬,30
만점,30
간만,18
대루,18
스윗,18
뽀송하게,15
일렉트로,40
인터라켄,25
광활한,25
자연,25
뜨거운,16
태양,16
상쾌하게,25
치도,25
시원시원한,12
뚝섬유원지역,14
강변,14
나란히,21
엣헴,50
구역,50
에센셜,50
뜨겁게,21
침,21
대송,21
겨울비,17
유독,17
사랑스런,17
프렌치,25
아니,18
어떻게,18
좋,18
애,18
대표,14
메뉴,14
압로,14
평,12
레이브,12
홈,14
표,14
토닥토닥,26
불면,26
캔맥,31
술,31
달,31
기쁨,30
독자,30
베스트,30
랜선,100
락페,100
신나요,16
간,16
역시,15
태연,15
고개,20
까딱,40
건방져지는,20
철수,27
에미넴,27
일로,27
정류장,30
선명하게,30
산책길,30
렉,30
청량터,19
자리,28
점철,27
싫어,32
시리,25
시린,25
자장가,37
레스토랑,33
미셸,34
들라크루아,34
파도처럼,28
내게로,28
다시금,24
꽃처럼,24
이름,25
정점,29
아름다웠다,23
존재,27
안도,27
수채화,28
강,31
물결,34
짙게,26
따스했던,27
비극,21
설렌다,29
또,29
초저녁,25
로맨스,25
걱정,25
수고,33
아름답게,17
조금,37
설레어서,22
간다,40
버거울지라도,1
란,22
귀로,27
온통,26
나로,18
충분히,18
괜찮은,18
가까운,18
음,15
취소,14
시시한,14
쉼표,14
필요하니까,14
베이커,1
특별해질,14
지도,14
호수,13
론,12
훌쩍,12
마치,10
장면,10
거림,12
사랑스러운,12
아주,16
근사한,16
바보,11
혹시,13
좋아하세요,13
노랠,10
무심코,11
근사해져,11
깊어가는,10
오묘한,10
있더라,10
오늘밤,9
우울,10
무슨,10
설렘으로,10
가득하길,10
어땠어,10
없다면,16
실수,16
뿐,16
찬,11
기운,11
려고,14
감정,10
렁,10
담담하게,7
있었으면,11
