이미지,제목,설명,가수,곡명
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lizzy McAlpine,In Agreement
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lizzy McAlpine,...What Are We?
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Olivia Barton,Control Freak
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Avery Lynch,useless information
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lyn Lapid,When She Loved Me
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Paolo Bennet,It's a Sin to Tell a Lie
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lizzy McAlpine,Stupid
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Siv Jakobsen,Not Alone
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Melody Niche,Vincent
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Joie Tan,any picture with you
