이미지,제목,설명,가수,곡명,이미지객체,이미지색감
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"d4vd, Laufey",This Is How It Feels,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Chris James,The Green (Acoustic),person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Chris James,The Green (Acoustic),person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Chris James,The Green (Acoustic),person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,rhianne,my love mine all mine,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,rhianne,my love mine all mine,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,rhianne,my love mine all mine,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,Stuck Here Without You,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,Stuck Here Without You,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,Stuck Here Without You,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Etham,What I Feel Is Love,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Etham,What I Feel Is Love,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Etham,What I Feel Is Love,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,all i need (the distance song),person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,all i need (the distance song),person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,all i need (the distance song),person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Matt Maltese,Everyone Adores You (quiet),person,"{'color': array([ 83, 138, 161]), 'percentage': 32.85687934027778}"
